20.000000 20.000000 20.000000 20.000000 20.000000 20.000000 20.000000 20.000000 20.000000 20.000000 100.000000
20.000000 21.339035 22.777969 24.432314 26.456015 29.084189 32.725515 38.181604 47.209287 64.063602 100.000000
20.000000 22.521991 25.219373 28.287535 31.967566 36.585354 42.615488 50.782616 62.189473 78.311457 100.000000
20.000000 23.430920 27.081464 31.186753 36.013920 41.879778 49.166452 58.321585 69.802296 83.861577 100.000000
20.000000 23.996708 28.233060 32.958092 38.437381 44.954240 52.798005 62.226889 73.386134 86.163055 100.000000
20.000000 24.188082 28.621140 33.550967 39.239712 45.955481 53.952879 63.428554 74.442392 86.808260 100.000000
20.000000 23.996711 28.233065 32.958100 38.437390 44.954249 52.798014 62.226896 73.386139 86.163057 100.000000
20.000000 23.430925 27.081474 31.186766 36.013935 41.879793 49.166466 58.321598 69.802304 83.861582 100.000000
20.000000 22.521997 25.219383 28.287549 31.967583 36.585371 42.615504 50.782629 62.189482 78.311462 100.000000
20.000000 21.339039 22.777976 24.432324 26.456026 29.084201 32.725526 38.181614 47.209293 64.063606 100.000000
20.000000 20.000000 20.000000 20.000000 20.000000 20.000000 20.000000 20.000000 20.000000 20.000000 100.000000
