20.000000 20.000000 20.000000 20.000000 20.000000 20.000000 20.000000 20.000000 20.000000 20.000000 20.000000 20.000000 20.000000 20.000000 20.000000 20.000000
20.000000 20.747132 21.455574 22.090868 22.625599 23.040229 23.322300 23.464847 23.464849 23.322304 23.040235 22.625606 22.090875 21.455580 20.747136 20.000000
20.000000 21.532959 22.984306 24.282309 25.371313 26.213033 26.784142 27.072259 27.072262 26.784149 26.213045 25.371327 24.282323 22.984317 21.532966 20.000000
20.000000 22.400407 24.666395 26.682772 28.364338 29.656480 30.529008 30.967819 30.967823 30.529018 29.656495 28.364356 26.682791 24.666412 22.400417 20.000000
20.000000 23.402285 26.598118 29.418073 31.746821 33.519580 34.707633 35.302233 35.302237 34.707646 33.519599 31.746844 29.418096 26.598138 23.402297 20.000000
20.000000 24.610628 28.905744 32.644616 35.685337 37.967434 39.479765 40.231295 40.231300 39.479779 37.967455 35.685362 32.644642 28.905765 24.610641 20.000000
20.000000 26.134500 31.769638 36.569350 40.382522 43.185106 45.012756 45.911940 45.911945 45.012770 43.185128 40.382547 36.569376 31.769660 26.134513 20.000000
20.000000 28.157749 35.468986 41.480660 46.090341 49.377767 51.474268 52.491825 52.491830 51.474282 49.377788 46.090366 41.480685 35.469008 28.157762 20.000000
20.000000 31.027523 40.467925 47.793999 53.120460 56.761405 59.014780 60.089318 60.089322 59.014792 56.761423 53.120482 47.794021 40.467943 31.027535 20.000000
20.000000 35.484433 47.581212 56.106984 61.836133 65.532655 67.734178 68.761393 68.761396 67.734188 65.532670 61.836150 56.107002 47.581227 35.484442 20.000000
20.000000 43.329005 58.265525 67.216617 72.584462 75.798941 77.627923 78.460718 78.460720 77.627930 75.798951 72.584475 67.216630 58.265535 43.329011 20.000000
20.000000 59.566069 74.935276 81.909516 85.486179 87.450747 88.517880 88.992862 88.992864 88.517884 87.450753 85.486185 81.909523 74.935282 59.566073 20.000000
100.000000 100.000000 100.000000 100.000000 100.000000 100.000000 100.000000 100.000000 100.000000 100.000000 100.000000 100.000000 100.000000 100.000000 100.000000 100.000000
