20.000000 20.000000 20.000000 20.000000 20.000000 20.000000 20.000000 20.000000 20.000000 20.000000 20.000000
20.000000 21.339062 22.522043 23.430992 23.996794 24.188172 23.996796 23.430997 22.522049 21.339067 20.000000
20.000000 22.778020 25.219473 27.081602 28.233222 28.621310 28.233227 27.081610 25.219482 22.778027 20.000000
20.000000 24.432386 28.287673 31.186944 32.958315 33.551201 32.958320 31.186952 28.287683 24.432394 20.000000
20.000000 26.456100 31.967729 36.014143 38.437643 39.239985 38.437647 36.014152 31.967738 26.456107 20.000000
20.000000 29.084279 36.585525 41.880012 44.954512 45.955765 44.954516 41.880018 36.585533 29.084284 20.000000
20.000000 32.725600 42.615649 49.166672 52.798263 53.953147 52.798266 49.166678 42.615655 32.725605 20.000000
20.000000 38.181677 50.782752 58.321771 62.227105 63.428779 62.227107 58.321775 50.782756 38.181680 20.000000
20.000000 47.209339 62.189571 69.802430 73.386289 74.442553 73.386291 69.802432 62.189573 47.209340 20.000000
20.000000 64.063629 78.311508 83.861647 86.163135 86.808344 86.163136 83.861648 78.311510 64.063630 20.000000
100.000000 100.000000 100.000000 100.000000 100.000000 100.000000 100.000000 100.000000 100.000000 100.000000 100.000000
